date,open,high,low,close,volume
2025-11-03 00:00:00+05:30,12.15,12.94,11.79,12.67,0
2025-11-04 00:00:00+05:30,12.67,12.94,10.98,12.65,0
2025-11-06 00:00:00+05:30,12.65,12.87,12.06,12.41,0
2025-11-07 00:00:00+05:30,12.41,12.67,11.96,12.56,0
2025-11-10 00:00:00+05:30,12.56,12.93,11.41,12.3,0
2025-11-11 00:00:00+05:30,12.3,13.01,11.99,12.49,0
2025-11-12 00:00:00+05:30,12.49,12.71,11.44,12.11,0
2025-11-13 00:00:00+05:30,12.11,12.27,11.23,12.16,0
2025-11-14 00:00:00+05:30,12.16,12.45,11.8,11.94,0
2025-11-17 00:00:00+05:30,11.94,12.28,10.9,11.79,0
2025-11-18 00:00:00+05:30,11.79,12.29,10.94,12.1,0
2025-11-19 00:00:00+05:30,12.1,12.38,10.77,11.97,0
2025-11-20 00:00:00+05:30,11.97,12.38,11.06,12.14,0
2025-11-21 00:00:00+05:30,12.14,13.85,12.14,13.63,0
2025-11-24 00:00:00+05:30,13.63,13.63,11.94,13.24,0
2025-11-25 00:00:00+05:30,13.24,13.24,10.86,12.24,0
2025-11-26 00:00:00+05:30,12.24,12.57,11.59,11.97,0
2025-11-27 00:00:00+05:30,11.97,12.24,11.51,11.79,0
2025-11-28 00:00:00+05:30,11.79,11.79,10.82,11.62,0
2025-12-01 00:00:00+05:30,11.62,12.01,10.9,11.63,0
2025-12-02 00:00:00+05:30,11.63,11.94,11.03,11.23,0
2025-12-03 00:00:00+05:30,11.23,11.37,10.92,11.21,0
2025-12-04 00:00:00+05:30,11.21,11.27,10.58,10.82,0
2025-12-05 00:00:00+05:30,10.82,10.87,10.16,10.32,0
2025-12-08 00:00:00+05:30,10.32,11.61,10.14,11.13,0
2025-12-09 00:00:00+05:30,11.13,11.88,10.46,10.95,0
2025-12-10 00:00:00+05:30,10.95,11.42,10.49,10.91,0
2025-12-11 00:00:00+05:30,10.91,11.19,10.32,10.4,0
2025-12-12 00:00:00+05:30,10.4,10.4,9.96,10.11,0
2025-12-15 00:00:00+05:30,10.11,10.84,10.05,10.25,0
2025-12-16 00:00:00+05:30,10.25,10.43,9.66,10.06,0
2025-12-17 00:00:00+05:30,10.06,10.18,9.48,9.84,0
2025-12-18 00:00:00+05:30,9.84,9.95,9.61,9.71,0
2025-12-19 00:00:00+05:30,9.71,10.31,9.44,9.52,0
2025-12-22 00:00:00+05:30,9.52,9.9,8.86,9.68,0
2025-12-23 00:00:00+05:30,9.68,9.79,9.32,9.38,0
2025-12-24 00:00:00+05:30,9.38,9.68,8.88,9.19,0
2025-12-26 00:00:00+05:30,9.19,9.4,9.02,9.15,0
2025-12-29 00:00:00+05:30,9.15,9.77,9.05,9.72,0
2025-12-30 00:00:00+05:30,9.72,9.99,9.59,9.68,0
2025-12-31 00:00:00+05:30,9.68,9.73,9.31,9.48,0
2026-01-01 00:00:00+05:30,9.48,9.48,8.72,9.19,0
2026-01-02 00:00:00+05:30,9.19,9.56,8.97,9.45,0
2026-01-05 00:00:00+05:30,9.45,10.22,9.29,10.02,0
2026-01-06 00:00:00+05:30,10.02,10.29,9.65,10.02,0
2026-01-07 00:00:00+05:30,10.02,10.24,9.74,9.95,0
2026-01-08 00:00:00+05:30,9.95,10.99,9.48,10.6,0
2026-01-09 00:00:00+05:30,10.6,11.04,10.22,10.93,0
2026-01-12 00:00:00+05:30,10.93,11.95,10.52,11.37,0
2026-01-13 00:00:00+05:30,11.37,11.68,10.64,11.2,0
2026-01-14 00:00:00+05:30,11.2,11.47,11.01,11.32,0
2026-01-16 00:00:00+05:30,11.32,11.58,10.88,11.37,0
2026-01-19 00:00:00+05:30,11.37,12.13,10.39,11.83,0
2026-01-20 00:00:00+05:30,11.83,12.9,11.0,12.73,0
2026-01-21 00:00:00+05:30,12.73,14.43,12.43,13.78,0
2026-01-22 00:00:00+05:30,13.78,14.33,12.91,13.35,0
2026-01-23 00:00:00+05:30,13.35,14.43,12.28,14.19,0
2026-01-27 00:00:00+05:30,14.19,16.06,13.92,14.45,0
2026-01-28 00:00:00+05:30,14.45,14.51,13.44,13.53,0
2026-01-29 00:00:00+05:30,13.53,14.19,13.07,13.37,0
2026-01-30 00:00:00+05:30,13.37,14.23,12.88,13.63,0
2026-02-01 00:00:00+05:30,13.63,16.11,13.35,15.1,0
2026-02-02 00:00:00+05:30,15.1,15.55,13.58,13.87,0
2026-02-03 00:00:00+05:30,13.87,15.47,11.85,12.9,0
2026-02-04 00:00:00+05:30,12.9,13.15,12.06,12.25,0
2026-02-05 00:00:00+05:30,12.25,12.55,10.94,12.17,0
2026-02-06 00:00:00+05:30,12.17,12.35,11.16,12.01,0
